"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Can delete authed user","304","test_delete_user","tests","Wed Jul 09 16:09:41 GMT 2025","passed","Wed Jul 09 16:09:42 GMT 2025","TestUser","test_user","",""
"Can not login with wrong email or password","181","test_login_with_wrong_credentials[password]","tests","Wed Jul 09 16:09:38 GMT 2025","passed","Wed Jul 09 16:09:38 GMT 2025","TestUser","test_user","",""
"Can get the note by note ID for authed user","180","test_get_note_by_id","tests","Wed Jul 09 16:09:30 GMT 2025","passed","Wed Jul 09 16:09:30 GMT 2025","TestNotes","test_notes","",""
"Can edit note for authed user","264","test_update_note","tests","Wed Jul 09 16:09:32 GMT 2025","passed","Wed Jul 09 16:09:33 GMT 2025","TestNotes","test_notes","",""
"Can not login with empty required fields","69","test_login_with_empty_credentials[email-A valid email address is required]","tests","Wed Jul 09 16:09:35 GMT 2025","passed","Wed Jul 09 16:09:35 GMT 2025","TestUser","test_user","",""
"Unable to create user if any of the required fields are empty","65","test_create_user_with_empty_required_field[password-Password must be between 6 and 30 characters]","tests","Wed Jul 09 16:09:33 GMT 2025","passed","Wed Jul 09 16:09:33 GMT 2025","TestUser","test_user","",""
"Check for 500 internal server error for ""create note"" request","2","test_create_note_returns_500","tests","Wed Jul 09 16:09:29 GMT 2025","passed","Wed Jul 09 16:09:29 GMT 2025","TestNotes","test_notes","",""
"Can send the link to reset the password","227","test_send_password_reset_link","tests","Wed Jul 09 16:09:42 GMT 2025","passed","Wed Jul 09 16:09:42 GMT 2025","TestUser","test_user","",""
"Can not login with wrong email or password","166","test_login_with_wrong_credentials[email]","tests","Wed Jul 09 16:09:37 GMT 2025","passed","Wed Jul 09 16:09:37 GMT 2025","TestUser","test_user","",""
"Unable to create note if any of the required fields are empty","95","test_create_note_with_empty_required_field[category-Category must be one of the categories: Home, Work, Personal]","tests","Wed Jul 09 16:09:31 GMT 2025","passed","Wed Jul 09 16:09:31 GMT 2025","TestNotes","test_notes","",""
"Unable to create note if any of the required fields are empty","112","test_create_note_with_empty_required_field[description-Description must be between 4 and 1000 characters]","tests","Wed Jul 09 16:09:30 GMT 2025","passed","Wed Jul 09 16:09:30 GMT 2025","TestNotes","test_notes","",""
