"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Can change the password","1133","test_change_password","tests","Tue Jul 15 16:54:32 GMT 2025","passed","Tue Jul 15 16:54:33 GMT 2025","TestUser","test_user","",""
"Can not login with empty required fields","85","test_login_with_empty_credentials[password-Password must be between 6 and 30 characters]","tests","Tue Jul 15 16:54:29 GMT 2025","passed","Tue Jul 15 16:54:29 GMT 2025","TestUser","test_user","",""
"Can login with valid credentials","342","test_auth_user","tests","Tue Jul 15 16:54:29 GMT 2025","passed","Tue Jul 15 16:54:29 GMT 2025","TestUser","test_user","",""
"Can change the completed status of a note between True/False","430","test_update_note_status","tests","Tue Jul 15 16:54:28 GMT 2025","passed","Tue Jul 15 16:54:29 GMT 2025","TestNotes","test_notes","",""
"Unable to create user if any of the required fields are empty","136","test_create_user_with_empty_required_field[email-A valid email address is required]","tests","Tue Jul 15 16:54:28 GMT 2025","passed","Tue Jul 15 16:54:28 GMT 2025","TestUser","test_user","",""
"Can not login with wrong email or password","174","test_login_with_wrong_credentials[email]","tests","Tue Jul 15 16:54:31 GMT 2025","passed","Tue Jul 15 16:54:31 GMT 2025","TestUser","test_user","",""
"Can delete note by its ID for authed user","575","test_delete_note_by_id","tests","Tue Jul 15 16:54:27 GMT 2025","passed","Tue Jul 15 16:54:27 GMT 2025","TestNotes","test_notes","",""
"Unable to update note if any of the required fields are empty","196","test_edit_note_with_empty_required_field[description-Description must be between 4 and 1000 characters]","tests","Tue Jul 15 16:54:27 GMT 2025","passed","Tue Jul 15 16:54:27 GMT 2025","TestNotes","test_notes","",""
"Can not register a user with existing email","411","test_create_same_user_twice","tests","Tue Jul 15 16:54:28 GMT 2025","passed","Tue Jul 15 16:54:29 GMT 2025","TestUser","test_user","",""
"Unable to create a note as unauthorized user","235","test_create_note_without_auth_header","tests","Tue Jul 15 16:54:23 GMT 2025","passed","Tue Jul 15 16:54:23 GMT 2025","TestNotes","test_notes","",""
"Can edit note for authed user","314","test_update_note","tests","Tue Jul 15 16:54:29 GMT 2025","passed","Tue Jul 15 16:54:29 GMT 2025","TestNotes","test_notes","",""
"Can update user info for authed user","214","test_update_user","tests","Tue Jul 15 16:54:32 GMT 2025","passed","Tue Jul 15 16:54:32 GMT 2025","TestUser","test_user","",""
"Unable to create user with name that is less than 4 symbols or greater than 30 symbols","243","test_create_user_with_too_short_or_long_name[qwertyuiopasdfghjklzxcvbnmqwerv]","tests","Tue Jul 15 16:54:28 GMT 2025","passed","Tue Jul 15 16:54:28 GMT 2025","TestUser","test_user","",""
"Can delete authed user","338","test_delete_user","tests","Tue Jul 15 16:54:33 GMT 2025","passed","Tue Jul 15 16:54:33 GMT 2025","TestUser","test_user","",""
"Can get user info for authed user","169","test_get_user_info","tests","Tue Jul 15 16:54:31 GMT 2025","passed","Tue Jul 15 16:54:31 GMT 2025","TestUser","test_user","",""
"Can not login with wrong email or password","208","test_login_with_wrong_credentials[password]","tests","Tue Jul 15 16:54:30 GMT 2025","passed","Tue Jul 15 16:54:30 GMT 2025","TestUser","test_user","",""
"Can send the link to reset the password","186","test_send_password_reset_link","tests","Tue Jul 15 16:54:33 GMT 2025","passed","Tue Jul 15 16:54:34 GMT 2025","TestUser","test_user","",""
"Can logout user","473","test_logout_user","tests","Tue Jul 15 16:54:31 GMT 2025","passed","Tue Jul 15 16:54:32 GMT 2025","TestUser","test_user","",""
"Can get the list of all notes of the authed user","719","test_get_all_notes","tests","Tue Jul 15 16:54:27 GMT 2025","passed","Tue Jul 15 16:54:28 GMT 2025","TestNotes","test_notes","",""
"Unable to create note with a title shorter than 4 symbols or longer than 100 symbols","100","test_create_note_with_too_short_or_long_title[short_title]","tests","Tue Jul 15 16:54:25 GMT 2025","passed","Tue Jul 15 16:54:25 GMT 2025","TestNotes","test_notes","",""
"Unable to create note if any of the required fields are empty","98","test_create_note_with_empty_required_field[title-Title must be between 4 and 100 characters]","tests","Tue Jul 15 16:54:25 GMT 2025","passed","Tue Jul 15 16:54:25 GMT 2025","TestNotes","test_notes","",""
"Check for 500 internal server error for ""create user"" request","2","test_create_user_returns_500","tests","Tue Jul 15 16:54:28 GMT 2025","passed","Tue Jul 15 16:54:28 GMT 2025","TestUser","test_user","",""
