"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Unable to create note with a title shorter than 4 symbols or longer than 100 symbols","2877","test_create_note_with_too_short_or_long_title[short_title]","tests","Wed Jul 09 15:48:32 GMT 2025","passed","Wed Jul 09 15:48:35 GMT 2025","TestNotes","test_notes","",""
"Can logout user","250","test_logout_user","tests","Wed Jul 09 15:51:35 GMT 2025","passed","Wed Jul 09 15:51:35 GMT 2025","TestUser","test_user","",""
"Can get the list of all notes of the authed user","16236","test_get_all_notes","tests","Wed Jul 09 15:49:50 GMT 2025","passed","Wed Jul 09 15:50:06 GMT 2025","TestNotes","test_notes","",""
"Can get user info for authed user","249","test_get_user_info","tests","Wed Jul 09 15:51:37 GMT 2025","passed","Wed Jul 09 15:51:37 GMT 2025","TestUser","test_user","",""
"Can send the link to reset the password","161","test_send_password_reset_link","tests","Wed Jul 09 15:51:39 GMT 2025","passed","Wed Jul 09 15:51:39 GMT 2025","TestUser","test_user","",""
"Can not login with empty required fields","41","test_login_with_empty_credentials[password-Password must be between 6 and 30 characters]","tests","Wed Jul 09 15:51:32 GMT 2025","passed","Wed Jul 09 15:51:32 GMT 2025","TestUser","test_user","",""
"Can change the password","887","test_change_password","tests","Wed Jul 09 15:51:39 GMT 2025","passed","Wed Jul 09 15:51:40 GMT 2025","TestUser","test_user","",""
"Unable to create note if any of the required fields are empty","3048","test_create_note_with_empty_required_field[description-Description must be between 4 and 1000 characters]","tests","Wed Jul 09 15:49:22 GMT 2025","passed","Wed Jul 09 15:49:25 GMT 2025","TestNotes","test_notes","",""
"Can update user info for authed user","173","test_update_user","tests","Wed Jul 09 15:51:37 GMT 2025","passed","Wed Jul 09 15:51:37 GMT 2025","TestUser","test_user","",""
"Can not login with empty required fields","42","test_login_with_empty_credentials[email-A valid email address is required]","tests","Wed Jul 09 15:51:31 GMT 2025","passed","Wed Jul 09 15:51:31 GMT 2025","TestUser","test_user","",""
"Unable to create note with a title shorter than 4 symbols or longer than 100 symbols","4558","test_create_note_with_too_short_or_long_title[long_title]","tests","Wed Jul 09 15:50:12 GMT 2025","passed","Wed Jul 09 15:50:16 GMT 2025","TestNotes","test_notes","",""
"Unauthorized user can not get a user info","132","test_get_user_info_without_auth_header","tests","Wed Jul 09 15:51:35 GMT 2025","passed","Wed Jul 09 15:51:35 GMT 2025","TestUser","test_user","",""
"Unable to create note if any of the required fields are empty","3600","test_create_note_with_empty_required_field[category-Category must be one of the categories: Home, Work, Personal]","tests","Wed Jul 09 15:49:46 GMT 2025","passed","Wed Jul 09 15:49:49 GMT 2025","TestNotes","test_notes","",""
"Unable to create user if any of the required fields are empty","1509","test_create_user_with_empty_required_field[password-Password must be between 6 and 30 characters]","tests","Wed Jul 09 15:51:02 GMT 2025","passed","Wed Jul 09 15:51:04 GMT 2025","TestUser","test_user","",""
"Can not login with wrong email or password","78","test_login_with_wrong_credentials[email]","tests","Wed Jul 09 15:51:33 GMT 2025","passed","Wed Jul 09 15:51:33 GMT 2025","TestUser","test_user","",""
"Can login with valid credentials","862","test_auth_user","tests","Wed Jul 09 15:51:28 GMT 2025","passed","Wed Jul 09 15:51:29 GMT 2025","TestUser","test_user","",""
"Can not create user with password that is less than 6 symbols and greater than 30 symbols","1207","test_create_user_with_too_short_or_long_password[12345]","tests","Wed Jul 09 15:51:08 GMT 2025","passed","Wed Jul 09 15:51:09 GMT 2025","TestUser","test_user","",""
"Can edit note for authed user","7520","test_update_note","tests","Wed Jul 09 15:50:45 GMT 2025","passed","Wed Jul 09 15:50:53 GMT 2025","TestNotes","test_notes","",""
"Check for 500 internal server error for ""create note"" request","2","test_create_note_returns_500","tests","Wed Jul 09 15:48:58 GMT 2025","passed","Wed Jul 09 15:48:58 GMT 2025","TestNotes","test_notes","",""
"Unable to create user if any of the required fields are empty","2076","test_create_user_with_empty_required_field[name-User name must be between 4 and 30 characters]","tests","Wed Jul 09 15:50:58 GMT 2025","passed","Wed Jul 09 15:51:00 GMT 2025","TestUser","test_user","",""
"Can register a new user","13198","test_create_new_user","tests","Wed Jul 09 15:50:31 GMT 2025","passed","Wed Jul 09 15:50:44 GMT 2025","TestUser","test_user","",""
"Can not login with wrong email or password","155","test_login_with_wrong_credentials[password]","tests","Wed Jul 09 15:51:34 GMT 2025","passed","Wed Jul 09 15:51:34 GMT 2025","TestUser","test_user","",""
"Can not register a user with existing email","13676","test_create_same_user_twice","tests","Wed Jul 09 15:50:44 GMT 2025","passed","Wed Jul 09 15:50:58 GMT 2025","TestUser","test_user","",""
"Check for 500 internal server error for ""get user profile"" request","1","test_user_profile_returns_500","tests","Wed Jul 09 15:51:36 GMT 2025","passed","Wed Jul 09 15:51:36 GMT 2025","TestUser","test_user","",""
"Can delete note by its ID for authed user","573","test_delete_note_by_id","tests","Wed Jul 09 15:51:35 GMT 2025","passed","Wed Jul 09 15:51:36 GMT 2025","TestNotes","test_notes","",""
"Unable to update note if any of the required fields are empty","120","test_edit_note_with_empty_required_field[description-Description must be between 4 and 1000 characters]","tests","Wed Jul 09 15:51:32 GMT 2025","passed","Wed Jul 09 15:51:32 GMT 2025","TestNotes","test_notes","",""
"Can not create user with password that is less than 6 symbols and greater than 30 symbols","1515","test_create_user_with_too_short_or_long_password[1234567890123456789012345678900]","tests","Wed Jul 09 15:51:09 GMT 2025","passed","Wed Jul 09 15:51:11 GMT 2025","TestUser","test_user","",""
"Unable to create user with name that is less than 4 symbols or greater than 30 symbols","1670","test_create_user_with_too_short_or_long_name[qwertyuiopasdfghjklzxcvbnmqwerv]","tests","Wed Jul 09 15:51:06 GMT 2025","passed","Wed Jul 09 15:51:08 GMT 2025","TestUser","test_user","",""
"Unable to update user without filling required field","162","test_update_with_empty_required_field","tests","Wed Jul 09 15:51:38 GMT 2025","passed","Wed Jul 09 15:51:38 GMT 2025","TestUser","test_user","",""
"Unable to create a note as unauthorized user","1428","test_create_note_without_auth_header","tests","Wed Jul 09 15:48:42 GMT 2025","passed","Wed Jul 09 15:48:43 GMT 2025","TestNotes","test_notes","",""
